Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
AN,26.52,26.52,SCĂDERE,DA,27.3846,25.21,8.63,100.0,27.7063,30.99,10.6,97.02,28.0672,35.86,21.73,41.34,32.4298,92.06,64.77,0.0
AEF,5.01,3.1677,CREȘTERE,NU,5.0125,3.2499,54.23,0.0,5.0112,3.3827,48.14,0.0,5.0995,3.4712,46.91,0.0,5.8904,5.7495,2.45,100.0
DRUA,24.38,22.5876,CREȘTERE,NU,24.3812,22.5969,7.9,100.0,24.5058,23.3473,4.96,100.0,24.6274,24.0202,2.53,100.0,26.1466,25.0469,4.39,100.0
ILPT,15.9,13.0085,CREȘTERE,NU,15.9325,13.2621,20.14,49.32,16.1204,14.3093,12.66,86.72,16.4279,14.6025,12.5,87.5,18.9945,20.6298,7.93,100.0
BIIB,293.27,293.27,CREȘTERE,NU,292.7612,304.47,3.85,100.0,291.5734,316.95,8.01,100.0,286.038,293.09,2.41,100.0,223.486,278.71,19.81,50.93
WBS,20.4,16.4211,CREȘTERE,NU,20.3509,16.88,20.56,47.19,20.4429,20.3816,0.3,100.0,20.9486,21.8305,4.04,100.0,25.9477,47.5927,45.48,0.0
WSM,37.6,16.6325,CREȘTERE,NU,37.6441,16.8316,123.65,0.0,37.671,21.0826,78.68,0.0,38.4657,26.8956,43.02,0.0,45.331,82.5147,45.06,0.0
HLIO,34.5,32.9995,CREȘTERE,NU,34.1722,33.5174,1.95,100.0,34.4334,32.0597,7.4,100.0,35.3319,32.5584,8.52,100.0,42.1902,70.5354,40.19,0.0
PJT,40.84,37.4204,CREȘTERE,NU,40.688,39.8393,2.13,100.0,40.6504,41.2504,1.45,100.0,40.4055,43.0738,6.19,100.0,34.0664,63.9566,46.74,0.0
V,153.11,146.3608,CREȘTERE,NU,153.4696,150.4521,2.01,100.0,155.1943,167.2285,7.2,100.0,159.1735,167.8307,5.16,100.0,188.1982,208.5984,9.78,100.0
NVAX,14.03,14.03,SCĂDERE,DA,13.9392,13.86,0.57,100.0,13.862,17.18,19.31,53.43,13.5604,17.33,21.75,41.24,8.7466,185.82,95.29,0.0
PESI,4.91,4.91,SCĂDERE,DA,4.8896,4.86,0.61,100.0,4.8806,5.87,16.86,65.72,4.8452,5.71,15.15,74.27,4.6277,7.39,37.38,0.0
CHT,35.39,28.2333,CREȘTERE,NU,35.2876,28.4248,24.14,29.28,35.3945,28.4248,24.52,27.4,35.0398,29.1109,20.37,48.17,29.7467,32.3842,8.14,100.0
SYY,41.87,35.3338,SCĂDERE,DA,41.7737,35.2229,18.6,57.01,41.6036,40.3071,3.22,100.0,42.4989,45.0075,5.57,100.0,51.3789,68.3587,24.84,25.8
GAM,26.12,17.7852,CREȘTERE,NU,26.318,18.078,45.58,0.0,26.4147,19.7326,33.86,0.0,26.8341,19.8688,35.06,0.0,31.947,27.652,15.53,72.34
SSTK,29.59,24.8006,CREȘTERE,NU,29.6452,26.7786,10.7,96.48,29.745,28.7901,3.32,100.0,30.2842,30.4915,0.68,100.0,36.3209,77.5559,53.17,0.0
FHB,15.03,11.3721,SCĂDERE,DA,15.0741,11.3494,32.82,0.0,15.1231,12.1968,23.99,30.04,15.2708,12.908,18.3,58.48,16.5122,22.0951,25.27,23.66
VQT,171.74,171.7441,CREȘTERE,NU,170.8466,172.0546,0.7,100.0,170.4182,172.3,1.09,100.0,167.8768,180.175,6.83,100.0,133.0191,N/A,N/A,N/A
WKHS,1.71,5130.0,SCĂDERE,DA,1.7088,4980.0,99.97,0.0,1.7344,5280.0,99.97,0.0,1.7855,9450.0,99.98,0.0,2.2723,42420.0,99.99,0.0
IRMD,19.88,18.0956,SCĂDERE,DA,19.835,17.8225,11.29,93.54,19.9367,18.3049,8.91,100.0,20.0442,18.0318,11.16,94.2,19.4835,22.7742,14.45,77.75
BRN,0.69,0.6711,SCĂDERE,DA,0.6823,0.5252,29.9,0.48,0.6776,0.5641,20.11,49.44,0.6699,0.6031,11.09,94.57,0.5606,2.6456,78.81,0.0
GCE,8.0,7.5576,CREȘTERE,NU,7.9855,7.8125,2.21,100.0,8.0037,7.8125,2.45,100.0,8.2081,10.2539,19.95,50.24,10.0117,15.24,34.31,0.0
GERN,1.07,1.07,SCĂDERE,DA,1.072,1.05,2.1,100.0,1.0763,1.08,0.34,100.0,1.0828,1.18,8.24,100.0,1.1358,1.62,29.89,0.56
FSEA,6.0,7.1788,SCĂDERE,DA,5.979,7.083,15.59,72.06,6.0157,7.3953,18.66,56.72,6.1858,6.8138,9.22,100.0,6.7456,11.2467,40.02,0.0
OLLI,44.95,44.95,CREȘTERE,NU,45.0546,46.65,3.42,100.0,45.0437,53.25,15.41,72.95,45.7237,66.04,30.76,0.0,55.494,88.2,37.08,0.0
EMN,45.51,36.8262,SCĂDERE,DA,45.6079,36.721,24.2,28.99,45.7227,45.7516,0.06,100.0,46.1687,48.5675,4.94,100.0,51.2087,92.8782,44.86,0.0
VRNT,36.53,N/A,N/A,N/A,36.3628,N/A,N/A,N/A,36.5096,N/A,N/A,N/A,36.6121,N/A,N/A,N/A,38.1874,N/A,N/A,N/A
DAUD,53.142,53.1419,CREȘTERE,NU,53.0791,53.8796,1.49,100.0,52.7527,47.9222,10.08,99.6,51.8454,41.6737,24.41,27.96,39.0552,N/A,N/A,N/A
CAC,29.27,22.6688,CREȘTERE,NU,29.4369,22.9012,28.54,7.31,29.3924,23.4356,25.42,22.91,29.7729,25.5309,16.62,66.92,33.3034,38.6859,13.91,80.43
RUSHA,29.67,12.0319,CREȘTERE,NU,29.7669,12.1333,145.33,0.0,29.9469,13.285,125.42,0.0,30.3752,14.7408,106.06,0.0,35.6495,30.7004,16.12,69.4
SPGI,234.33,222.9274,CREȘTERE,NU,234.7126,229.5963,2.23,100.0,235.4527,248.7848,5.36,100.0,234.338,272.1401,13.89,80.55,243.6406,347.8843,29.97,0.17
GJH,8.0,5.3391,SCĂDERE,DA,8.0327,5.3391,50.45,0.0,8.0447,5.873,36.98,0.0,8.1626,6.4403,26.74,16.29,9.4779,7.3892,28.27,8.67
